Date,Symbol,Open,High,Low,Close,SP,Vol,OI
2020-12-29,S50M21C800,0,0,0,0,139.2,0,0.0
2020-12-30,S50M21C800,0,0,0,0,128.7,0,0.0
2021-01-04,S50M21C800,0,0,0,0,137.9,0,0.0
2021-01-05,S50M21C800,0,0,0,0,164.4,0,0.0
2021-01-06,S50M21C800,0,0,0,0,153.3,0,0.0
2021-01-07,S50M21C800,0,0,0,0,164.6,0,0.0
2021-01-08,S50M21C800,0,0,0,0,183.6,0,0.0
2021-01-11,S50M21C800,0,0,0,0,180.3,0,0.0
2021-01-12,S50M21C800,0,0,0,0,179.6,0,0.0
2021-01-13,S50M21C800,0,0,0,0,183.0,0,0.0
2021-01-14,S50M21C800,0,0,0,0,174.3,0,0.0
2021-01-15,S50M21C800,0,0,0,0,162.4,0,0.0
2021-01-18,S50M21C800,0,0,0,0,154.4,0,0.0
2021-01-19,S50M21C800,0,0,0,0,160.8,0,0.0
2021-01-20,S50M21C800,0,0,0,0,155.5,0,0.0
2021-01-21,S50M21C800,0,0,0,0,153.4,0,0.0
2021-01-22,S50M21C800,0,0,0,0,143.0,0,0.0
2021-01-25,S50M21C800,0,0,0,0,143.8,0,0.0
2021-01-26,S50M21C800,0,0,0,0,150.9,0,0.0
2021-01-27,S50M21C800,0,0,0,0,138.9,0,0.0
2021-01-28,S50M21C800,133.3,133.3,133.3,133.3,133.3,10,10.0
2021-01-29,S50M21C800,0,0,0,0,121.8,0,10.0
2021-02-01,S50M21C800,0,0,0,0,126.0,0,10.0
2021-02-02,S50M21C800,0,0,0,0,129.6,0,10.0
2021-02-03,S50M21C800,0,0,0,0,125.4,0,10.0
2021-02-04,S50M21C800,0,0,0,0,124.3,0,10.0
2021-02-05,S50M21C800,0,0,0,0,132.5,0,10.0
2021-02-08,S50M21C800,0,0,0,0,145.6,0,10.0
2021-02-09,S50M21C800,0,0,0,0,146.3,0,10.0
2021-02-10,S50M21C800,0,0,0,0,146.5,0,10.0
2021-02-11,S50M21C800,0,0,0,0,139.4,0,10.0
2021-02-15,S50M21C800,0,0,0,0,145.6,0,10.0
2021-02-16,S50M21C800,0,0,0,0,145.4,0,10.0
2021-02-17,S50M21C800,0,0,0,0,138.1,0,10.0
2021-02-18,S50M21C800,0,0,0,0,134.4,0,10.0
2021-02-19,S50M21C800,0,0,0,0,127.2,0,10.0
2021-02-22,S50M21C800,0,0,0,0,114.8,0,10.0
2021-02-23,S50M21C800,0,0,0,0,131.5,0,10.0
2021-02-24,S50M21C800,0,0,0,0,125.3,0,10.0
2021-02-25,S50M21C800,0,0,0,0,127.8,0,10.0
2021-03-01,S50M21C800,0,0,0,0,130.4,0,10.0
2021-03-02,S50M21C800,0,0,0,0,130.7,0,10.0
2021-03-03,S50M21C800,0,0,0,0,161.6,0,10.0
2021-03-04,S50M21C800,0,0,0,0,151.7,0,10.0
2021-03-05,S50M21C800,155.0,160.0,155.0,160.0,160.0,2,12.0
2021-03-08,S50M21C800,0,0,0,0,155.3,0,12.0
2021-03-09,S50M21C800,0,0,0,0,158.1,0,12.0
2021-03-10,S50M21C800,0,0,0,0,172.1,0,12.0
2021-03-11,S50M21C800,0,0,0,0,174.9,0,12.0
2021-03-12,S50M21C800,0,0,0,0,169.4,0,12.0
2021-03-15,S50M21C800,0,0,0,0,164.7,0,12.0
2021-03-16,S50M21C800,0,0,0,0,161.5,0,12.0
2021-03-17,S50M21C800,0,0,0,0,163.5,0,12.0
2021-03-18,S50M21C800,0,0,0,0,162.2,0,12.0
2021-03-19,S50M21C800,0,0,0,0,155.6,0,12.0
2021-03-22,S50M21C800,0,0,0,0,155.5,0,12.0
2021-03-23,S50M21C800,0,0,0,0,153.7,0,12.0
2021-03-24,S50M21C800,0,0,0,0,157.5,0,12.0
2021-03-25,S50M21C800,0,0,0,0,157.7,0,12.0
2021-03-26,S50M21C800,0,0,0,0,159.5,0,12.0
2021-03-29,S50M21C800,0,0,0,0,163.6,0,12.0
2021-03-30,S50M21C800,0,0,0,0,168.6,0,12.0
2021-03-31,S50M21C800,0,0,0,0,167.2,0,12.0
2021-04-01,S50M21C800,0,0,0,0,171.6,0,12.0
2021-04-02,S50M21C800,0,0,0,0,172.2,0,12.0
2021-04-05,S50M21C800,0,0,0,0,161.0,0,12.0
2021-04-07,S50M21C800,0,0,0,0,146.7,0,12.0
2021-04-08,S50M21C800,0,0,0,0,146.4,0,12.0
2021-04-09,S50M21C800,0,0,0,0,152.3,0,12.0
2021-04-12,S50M21C800,0,0,0,0,137.8,0,12.0
2021-04-16,S50M21C800,0,0,0,0,143.2,0,12.0
2021-04-19,S50M21C800,0,0,0,0,157.1,0,12.0
2021-04-20,S50M21C800,0,0,0,0,160.8,0,12.0
2021-04-21,S50M21C800,0,0,0,0,158.8,0,12.0
2021-04-22,S50M21C800,0,0,0,0,149.6,0,12.0
2021-04-23,S50M21C800,0,0,0,0,139.7,0,12.0
2021-04-26,S50M21C800,0,0,0,0,141.1,0,12.0
2021-04-27,S50M21C800,0,0,0,0,140.5,0,12.0
2021-04-28,S50M21C800,0,0,0,0,151.4,0,12.0
2021-04-29,S50M21C800,0,0,0,0,161.7,0,12.0
2021-04-30,S50M21C800,0,0,0,0,153.3,0,12.0
2021-05-05,S50M21C800,0,0,0,0,127.5,0,12.0
2021-05-06,S50M21C800,0,0,0,0,143.3,0,12.0
2021-05-07,S50M21C800,0,0,0,0,153.5,0,12.0
2021-05-10,S50M21C800,0,0,0,0,157.3,0,12.0
2021-05-11,S50M21C800,150.8,150.8,150.8,150.8,150.8,5,12.0
2021-05-12,S50M21C800,0,0,0,0,150.5,0,12.0
2021-05-13,S50M21C800,0,0,0,0,136.4,0,12.0
2021-05-14,S50M21C800,0,0,0,0,136.7,0,12.0
2021-05-17,S50M21C800,0,0,0,0,137.1,0,12.0
2021-05-18,S50M21C800,0,0,0,0,147.0,0,12.0
2021-05-19,S50M21C800,0,0,0,0,141.7,0,12.0
