Date,Symbol,Open,High,Low,Close,SP,Vol,OI
2012-06-28,S50M13C800,0,0,0,0,65.5,0,0.0
2012-06-29,S50M13C800,0,0,0,0,65.7,0,0.0
2012-07-02,S50M13C800,0,0,0,0,73.7,0,0.0
2012-07-03,S50M13C800,0,0,0,0,77.5,0,0.0
2012-07-04,S50M13C800,0,0,0,0,75.3,0,0.0
2012-07-05,S50M13C800,0,0,0,0,78.3,0,0.0
2012-07-06,S50M13C800,0,0,0,0,76.6,0,0.0
2012-07-09,S50M13C800,0,0,0,0,70.0,0,0.0
2012-07-10,S50M13C800,0,0,0,0,78.5,0,0.0
2012-07-11,S50M13C800,0,0,0,0,80.1,0,0.0
2012-07-12,S50M13C800,0,0,0,0,73.1,0,0.0
2012-07-13,S50M13C800,0,0,0,0,80.9,0,0.0
2012-07-16,S50M13C800,0,0,0,0,82.2,0,0.0
2012-07-17,S50M13C800,0,0,0,0,86.3,0,0.0
2012-07-18,S50M13C800,0,0,0,0,83.3,0,0.0
2012-07-19,S50M13C800,0,0,0,0,79.3,0,0.0
2012-07-20,S50M13C800,0,0,0,0,76.6,0,0.0
2012-07-23,S50M13C800,0,0,0,0,67.1,0,0.0
2012-07-24,S50M13C800,0,0,0,0,67.0,0,0.0
2012-07-25,S50M13C800,0,0,0,0,67.2,0,0.0
2012-07-26,S50M13C800,60.0,60.0,60.0,60.0,60.6,1,1.0
2012-07-27,S50M13C800,0,0,0,0,62.0,0,1.0
2012-07-30,S50M13C800,0,0,0,0,69.3,0,1.0
2012-07-31,S50M13C800,0,0,0,0,71.5,0,1.0
2012-08-01,S50M13C800,0,0,0,0,71.7,0,1.0
2012-08-03,S50M13C800,0,0,0,0,68.0,0,1.0
2012-08-06,S50M13C800,0,0,0,0,72.0,0,1.0
2012-08-07,S50M13C800,0,0,0,0,71.7,0,1.0
2012-08-08,S50M13C800,0,0,0,0,71.6,0,1.0
2012-08-09,S50M13C800,0,0,0,0,72.6,0,1.0
2012-08-10,S50M13C800,0,0,0,0,73.5,0,1.0
2012-08-14,S50M13C800,0,0,0,0,78.2,0,1.0
2012-08-15,S50M13C800,0,0,0,0,76.9,0,1.0
2012-08-16,S50M13C800,0,0,0,0,73.2,0,1.0
2012-08-17,S50M13C800,0,0,0,0,72.0,0,1.0
2012-08-20,S50M13C800,0,0,0,0,72.1,0,1.0
2012-08-21,S50M13C800,0,0,0,0,72.0,0,1.0
2012-08-22,S50M13C800,0,0,0,0,72.4,0,1.0
2012-08-23,S50M13C800,0,0,0,0,74.6,0,1.0
2012-08-24,S50M13C800,0,0,0,0,73.0,0,1.0
2012-08-27,S50M13C800,0,0,0,0,69.3,0,1.0
2012-08-28,S50M13C800,0,0,0,0,68.5,0,1.0
2012-08-29,S50M13C800,0,0,0,0,59.9,0,1.0
2012-08-30,S50M13C800,0,0,0,0,56.2,0,1.0
2012-08-31,S50M13C800,0,0,0,0,61.5,0,1.0
2012-09-03,S50M13C800,0,0,0,0,65.6,0,1.0
2012-09-04,S50M13C800,0,0,0,0,65.5,0,1.0
2012-09-05,S50M13C800,0,0,0,0,59.8,0,1.0
2012-09-06,S50M13C800,0,0,0,0,64.9,0,1.0
2012-09-07,S50M13C800,0,0,0,0,65.9,0,1.0
2012-09-10,S50M13C800,0,0,0,0,67.9,0,1.0
2012-09-11,S50M13C800,0,0,0,0,65.7,0,1.0
2012-09-12,S50M13C800,0,0,0,0,72.6,0,1.0
2012-09-13,S50M13C800,0,0,0,0,71.3,0,1.0
2012-09-14,S50M13C800,0,0,0,0,82.9,0,1.0
2012-09-17,S50M13C800,0,0,0,0,83.6,0,1.0
2012-09-18,S50M13C800,0,0,0,0,79.0,0,1.0
2012-09-19,S50M13C800,0,0,0,0,86.3,0,1.0
2012-09-20,S50M13C800,0,0,0,0,84.4,0,1.0
2012-09-21,S50M13C800,0,0,0,0,85.0,0,1.0
2012-09-24,S50M13C800,0,0,0,0,83.2,0,1.0
2012-09-25,S50M13C800,0,0,0,0,84.2,0,1.0
2012-09-26,S50M13C800,0,0,0,0,76.9,0,1.0
2012-09-27,S50M13C800,0,0,0,0,82.6,0,1.0
2012-09-28,S50M13C800,0,0,0,0,91.0,0,1.0
2012-10-01,S50M13C800,0,0,0,0,89.1,0,1.0
2012-10-02,S50M13C800,0,0,0,0,91.7,0,1.0
