Date,Symbol,Open,High,Low,Close,SP,Vol,OI
2022-05-10,S50M22C850,0,0,0,0,112.9,0,0.0
2022-05-11,S50M22C850,0,0,0,0,109.2,0,0.0
2022-05-12,S50M22C850,0,0,0,0,97.9,0,0.0
2022-05-13,S50M22C850,0,0,0,0,100.7,0,0.0
2022-05-17,S50M22C850,0,0,0,0,118.3,0,0.0
2022-05-18,S50M22C850,0,0,0,0,124.9,0,0.0
2022-05-19,S50M22C850,0,0,0,0,114.8,0,0.0
2022-05-20,S50M22C850,127.7,127.7,127.7,127.7,127.7,1,1.0
2022-05-23,S50M22C850,130.5,130.5,130.5,130.5,132.5,1,1.0
2022-05-24,S50M22C850,0,0,0,0,127.7,0,1.0
2022-05-25,S50M22C850,0,0,0,0,125.6,0,1.0
2022-05-26,S50M22C850,0,0,0,0,131.3,0,1.0
2022-05-27,S50M22C850,0,0,0,0,135.3,0,1.0
2022-05-30,S50M22C850,0,0,0,0,144.3,0,1.0
2022-05-31,S50M22C850,0,0,0,0,150.7,0,1.0
2022-06-01,S50M22C850,0,0,0,0,150.8,0,1.0
2022-06-02,S50M22C850,0,0,0,0,144.5,0,1.0
2022-06-06,S50M22C850,0,0,0,0,144.0,0,1.0
2022-06-07,S50M22C850,0,0,0,0,134.9,0,1.0
2022-06-08,S50M22C850,0,0,0,0,137.5,0,1.0
2022-06-09,S50M22C850,0,0,0,0,142.1,0,1.0
2022-06-10,S50M22C850,0,0,0,0,136.6,0,1.0
2022-06-13,S50M22C850,0,0,0,0,118.0,0,1.0
2022-06-14,S50M22C850,0,0,0,0,120.0,0,1.0
2022-06-15,S50M22C850,0,0,0,0,115.3,0,1.0
2022-06-16,S50M22C850,100.0,100.0,100.0,100.0,100.0,1,2.0
2022-06-17,S50M22C850,0,0,0,0,94.5,0,2.0
2022-06-20,S50M22C850,0,0,0,0,96.0,0,2.0
2022-06-21,S50M22C850,0,0,0,0,104.4,0,2.0
2022-06-22,S50M22C850,0,0,0,0,95.5,0,2.0
2022-06-23,S50M22C850,0,0,0,0,93.2,0,2.0
2022-06-24,S50M22C850,0,0,0,0,100.1,0,2.0
2022-06-27,S50M22C850,0,0,0,0,108.6,0,2.0
2022-06-28,S50M22C850,0,0,0,0,118.7,0,2.0
2022-06-29,S50M22C850,0,0,0,0,962.49,0,2.0
2021-12-29,S50M22C875,0,0,0,0,110.4,0,0.0
2021-12-30,S50M22C875,0,0,0,0,111.6,0,0.0
2022-01-04,S50M22C875,0,0,0,0,119.6,0,0.0
2022-01-05,S50M22C875,0,0,0,0,122.5,0,0.0
2022-01-06,S50M22C875,0,0,0,0,106.3,0,0.0
2022-01-07,S50M22C875,0,0,0,0,107.9,0,0.0
2022-01-10,S50M22C875,0,0,0,0,107.5,0,0.0
2022-01-11,S50M22C875,0,0,0,0,112.8,0,0.0
2022-01-12,S50M22C875,0,0,0,0,118.9,0,0.0
2022-01-13,S50M22C875,0,0,0,0,117.4,0,0.0
2022-01-14,S50M22C875,0,0,0,0,114.5,0,0.0
2022-01-17,S50M22C875,0,0,0,0,116.9,0,0.0
2022-01-18,S50M22C875,0,0,0,0,108.6,0,0.0
2022-01-19,S50M22C875,0,0,0,0,109.8,0,0.0
2022-01-20,S50M22C875,0,0,0,0,110.9,0,0.0
2022-01-21,S50M22C875,22.7,110.5,22.7,110.5,110.5,2,1.0
2022-01-24,S50M22C875,0,0,0,0,105.7,0,1.0
2022-01-25,S50M22C875,0,0,0,0,105.8,0,1.0
2022-01-26,S50M22C875,0,0,0,0,112.1,0,1.0
2022-01-27,S50M22C875,0,0,0,0,108.5,0,1.0
2022-01-28,S50M22C875,0,0,0,0,110.4,0,1.0
2022-01-31,S50M22C875,0,0,0,0,112.9,0,1.0
2022-02-01,S50M22C875,0,0,0,0,117.5,0,1.0
2022-02-02,S50M22C875,0,0,0,0,118.9,0,1.0
2022-02-03,S50M22C875,0,0,0,0,119.2,0,1.0
2022-02-04,S50M22C875,0,0,0,0,122.3,0,1.0
2022-02-07,S50M22C875,0,0,0,0,125.2,0,1.0
2022-02-08,S50M22C875,131.0,131.3,131.0,131.3,131.3,10,11.0
2022-02-09,S50M22C875,0,0,0,0,148.6,0,11.0
2022-02-10,S50M22C875,0,0,0,0,148.8,0,11.0
2022-02-11,S50M22C875,0,0,0,0,147.0,0,11.0
2022-02-14,S50M22C875,133.5,133.5,132.7,132.7,134.9,5,9.0
2022-02-15,S50M22C875,145.8,145.8,145.0,145.0,145.0,5,7.0
2022-02-17,S50M22C875,0,0,0,0,154.9,0,7.0
2022-02-18,S50M22C875,0,0,0,0,154.5,0,7.0
2022-02-21,S50M22C875,0,0,0,0,138.6,0,7.0
2022-02-22,S50M22C875,0,0,0,0,134.4,0,7.0
2022-02-23,S50M22C875,0,0,0,0,139.4,0,7.0
2022-02-24,S50M22C875,0,0,0,0,123.3,0,7.0
2022-02-25,S50M22C875,0,0,0,0,130.6,0,7.0
2022-02-28,S50M22C875,0,0,0,0,134.6,0,7.0
2022-03-01,S50M22C875,0,0,0,0,139.8,0,7.0
2022-03-02,S50M22C875,0,0,0,0,141.5,0,7.0
2022-03-03,S50M22C875,0,0,0,0,144.3,0,7.0
