Date,Symbol,Open,High,Low,Close,SP,Vol,OI
2008-01-22,S50M08C500,0,0,0,0,55.2,0,0.0
2008-01-23,S50M08C500,0,0,0,0,54.6,0,0.0
2008-01-24,S50M08C500,0,0,0,0,46.4,0,0.0
2008-01-25,S50M08C500,0,0,0,0,66.0,0,0.0
2008-01-28,S50M08C500,0,0,0,0,56.2,0,0.0
2008-01-29,S50M08C500,0,0,0,0,62.3,0,0.0
2008-01-30,S50M08C500,0,0,0,0,67.5,0,0.0
2008-01-31,S50M08C500,0,0,0,0,81.2,0,0.0
2008-02-01,S50M08C500,0,0,0,0,99.1,0,0.0
2008-02-04,S50M08C500,0,0,0,0,97.9,0,0.0
2008-02-05,S50M08C500,0,0,0,0,95.1,0,0.0
2008-02-06,S50M08C500,0,0,0,0,85.7,0,0.0
2008-02-07,S50M08C500,0,0,0,0,83.8,0,0.0
2008-02-08,S50M08C500,0,0,0,0,92.4,0,0.0
2008-02-11,S50M08C500,0,0,0,0,90.2,0,0.0
2008-02-12,S50M08C500,0,0,0,0,98.5,0,0.0
2008-02-13,S50M08C500,0,0,0,0,106.8,0,0.0
2008-02-14,S50M08C500,0,0,0,0,108.7,0,0.0
2008-02-15,S50M08C500,0,0,0,0,105.8,0,0.0
2008-02-18,S50M08C500,0,0,0,0,103.3,0,0.0
2008-02-19,S50M08C500,0,0,0,0,111.3,0,0.0
2008-02-20,S50M08C500,0,0,0,0,105.3,0,0.0
2008-02-22,S50M08C500,0,0,0,0,104.2,0,0.0
2008-02-25,S50M08C500,0,0,0,0,112.4,0,0.0
2008-02-26,S50M08C500,0,0,0,0,109.7,0,0.0
2008-02-27,S50M08C500,0,0,0,0,107.5,0,0.0
2008-02-28,S50M08C500,0,0,0,0,115.0,0,0.0
2008-02-29,S50M08C500,0,0,0,0,117.2,0,0.0
2008-03-03,S50M08C500,0,0,0,0,113.9,0,0.0
2008-03-04,S50M08C500,0,0,0,0,104.5,0,0.0
2008-03-05,S50M08C500,0,0,0,0,99.2,0,0.0
2008-03-06,S50M08C500,0,0,0,0,100.8,0,0.0
2008-03-07,S50M08C500,0,0,0,0,96.7,0,0.0
2008-03-10,S50M08C500,0,0,0,0,87.3,0,0.0
2008-03-11,S50M08C500,0,0,0,0,97.3,0,0.0
2008-03-12,S50M08C500,0,0,0,0,102.3,0,0.0
2008-03-13,S50M08C500,0,0,0,0,93.4,0,0.0
2008-03-14,S50M08C500,0,0,0,0,95.3,0,0.0
2008-03-17,S50M08C500,0,0,0,0,87.5,0,0.0
2008-03-18,S50M08C500,0,0,0,0,90.5,0,0.0
2008-03-19,S50M08C500,0,0,0,0,87.2,0,0.0
2008-03-20,S50M08C500,0,0,0,0,79.4,0,0.0
2008-03-21,S50M08C500,0,0,0,0,81.1,0,0.0
2008-03-24,S50M08C500,0,0,0,0,84.1,0,0.0
2008-03-25,S50M08C500,0,0,0,0,93.3,0,0.0
2008-03-26,S50M08C500,0,0,0,0,91.1,0,0.0
2008-03-27,S50M08C500,0,0,0,0,94.3,0,0.0
2008-03-28,S50M08C500,0,0,0,0,96.1,0,0.0
2008-03-31,S50M08C500,0,0,0,0,89.8,0,0.0
2008-04-01,S50M08C500,0,0,0,0,94.6,0,0.0
2008-04-02,S50M08C500,0,0,0,0,95.2,0,0.0
2008-04-03,S50M08C500,0,0,0,0,94.8,0,0.0
2008-04-04,S50M08C500,0,0,0,0,93.1,0,0.0
2008-04-08,S50M08C500,0,0,0,0,94.8,0,0.0
2008-04-09,S50M08C500,0,0,0,0,94.4,0,0.0
2008-04-10,S50M08C500,0,0,0,0,90.7,0,0.0
2008-04-11,S50M08C500,0,0,0,0,95.0,0,0.0
2008-04-16,S50M08C500,0,0,0,0,99.8,0,0.0
2008-04-17,S50M08C500,0,0,0,0,109.6,0,0.0
2008-04-18,S50M08C500,0,0,0,0,108.8,0,0.0
2008-04-21,S50M08C500,0,0,0,0,105.2,0,0.0
