Date,Symbol,Open,High,Low,Close,SP,Vol,OI
2007-11-22,S50Z07C550,48.0,48.0,48.0,48.0,48.0,2,2.0
2007-11-23,S50Z07C550,35.1,50.0,34.0,50.0,50.0,3,2.0
2007-11-26,S50Z07C550,0,0,0,0,61.1,0,2.0
2007-11-27,S50Z07C550,0,0,0,0,53.1,0,2.0
2007-11-28,S50Z07C550,0,0,0,0,50.7,0,2.0
2007-11-29,S50Z07C550,0,0,0,0,71.5,0,2.0
2007-11-30,S50Z07C550,0,0,0,0,72.8,0,2.0
2007-12-03,S50Z07C550,0,0,0,0,59.4,0,2.0
2007-12-04,S50Z07C550,0,0,0,0,61.2,0,2.0
2007-12-06,S50Z07C550,0,0,0,0,70.8,0,2.0
2007-12-07,S50Z07C550,0,0,0,0,67.0,0,2.0
2007-12-11,S50Z07C550,0,0,0,0,66.8,0,2.0
2007-12-12,S50Z07C550,0,0,0,0,61.4,0,2.0
2007-12-13,S50Z07C550,0,0,0,0,61.6,0,2.0
2007-12-14,S50Z07C550,0,0,0,0,64.1,0,2.0
2007-12-17,S50Z07C550,0,0,0,0,48.5,0,2.0
2007-12-18,S50Z07C550,0,0,0,0,45.4,0,2.0
2007-12-19,S50Z07C550,0,0,0,0,37.8,0,2.0
2007-12-20,S50Z07C550,0,0,0,0,26.4,0,2.0
2007-12-21,S50Z07C550,0,0,0,0,44.8,0,2.0
2007-12-25,S50Z07C550,0,0,0,0,70.3,0,2.0
2007-12-26,S50Z07C550,0,0,0,0,68.0,0,2.0
2007-12-27,S50Z07C550,0,0,0,0,626.06,0,0.0
2007-11-06,S50Z07C600,0,0,0,0,61.4,0,0.0
2007-11-07,S50Z07C600,0,0,0,0,56.6,0,0.0
2007-11-08,S50Z07C600,55.0,58.9,52.0,58.9,58.9,12,10.0
2007-11-09,S50Z07C600,58.0,58.8,52.6,52.6,54.4,3,11.0
2007-11-12,S50Z07C600,52.0,52.0,52.0,52.0,52.0,1,12.0
2007-11-13,S50Z07C600,0,0,0,0,38.0,0,12.0
2007-11-14,S50Z07C600,0,0,0,0,39.1,0,12.0
2007-11-15,S50Z07C600,0,0,0,0,34.1,0,12.0
