Date,Symbol,Open,High,Low,Close,SP,Vol,OI
2023-03-15,S50M23C800,0,0,0,0,136.9,0,0.0
2023-03-16,S50M23C800,0,0,0,0,132.0,0,0.0
2023-03-17,S50M23C800,0,0,0,0,138.9,0,0.0
2023-03-20,S50M23C800,0,0,0,0,132.6,0,0.0
2023-03-21,S50M23C800,0,0,0,0,147.6,0,0.0
2023-03-22,S50M23C800,0,0,0,0,154.5,0,0.0
2023-03-23,S50M23C800,0,0,0,0,158.9,0,0.0
2023-03-24,S50M23C800,0,0,0,0,157.9,0,0.0
2023-03-27,S50M23C800,0,0,0,0,157.4,0,0.0
2023-03-28,S50M23C800,0,0,0,0,165.0,0,0.0
2023-03-29,S50M23C800,0,0,0,0,168.7,0,0.0
2023-03-30,S50M23C800,0,0,0,0,166.9,0,0.0
2023-03-31,S50M23C800,0,0,0,0,171.5,0,0.0
2023-04-03,S50M23C800,0,0,0,0,162.3,0,0.0
2023-04-04,S50M23C800,0,0,0,0,158.8,0,0.0
2023-04-05,S50M23C800,0,0,0,0,143.9,0,0.0
2023-04-07,S50M23C800,0,0,0,0,148.6,0,0.0
2023-04-10,S50M23C800,0,0,0,0,161.1,0,0.0
2023-04-11,S50M23C800,0,0,0,0,163.1,0,0.0
2023-04-12,S50M23C800,0,0,0,0,159.4,0,0.0
2023-04-17,S50M23C800,0,0,0,0,163.9,0,0.0
2023-04-18,S50M23C800,0,0,0,0,158.8,0,0.0
2023-04-19,S50M23C800,0,0,0,0,151.7,0,0.0
2023-04-20,S50M23C800,0,0,0,0,141.5,0,0.0
2023-04-21,S50M23C800,0,0,0,0,136.5,0,0.0
2023-04-24,S50M23C800,0,0,0,0,137.4,0,0.0
2023-04-25,S50M23C800,0,0,0,0,129.7,0,0.0
2023-04-26,S50M23C800,0,0,0,0,132.6,0,0.0
2023-04-27,S50M23C800,0,0,0,0,123.2,0,0.0
2023-04-28,S50M23C800,0,0,0,0,120.9,0,0.0
2023-05-02,S50M23C800,0,0,0,0,125.3,0,0.0
2023-05-03,S50M23C800,0,0,0,0,127.8,0,0.0
2023-05-08,S50M23C800,0,0,0,0,148.1,0,0.0
2023-05-09,S50M23C800,0,0,0,0,147.8,0,0.0
2023-05-10,S50M23C800,0,0,0,0,150.3,0,0.0
2023-05-11,S50M23C800,0,0,0,0,149.2,0,0.0
2023-05-12,S50M23C800,0,0,0,0,146.4,0,0.0
2023-05-15,S50M23C800,0,0,0,0,134.7,0,0.0
2023-05-16,S50M23C800,0,0,0,0,133.2,0,0.0
2023-05-17,S50M23C800,0,0,0,0,121.8,0,0.0
2023-05-18,S50M23C800,0,0,0,0,124.8,0,0.0
2023-05-19,S50M23C800,0,0,0,0,118.4,0,0.0
2023-05-22,S50M23C800,0,0,0,0,128.5,0,0.0
2023-05-23,S50M23C800,0,0,0,0,128.5,0,0.0
2023-05-24,S50M23C800,0,0,0,0,128.3,0,0.0
2023-05-25,S50M23C800,0,0,0,0,128.0,0,0.0
2023-05-26,S50M23C800,0,0,0,0,123.9,0,0.0
2023-05-29,S50M23C800,0,0,0,0,130.9,0,0.0
2023-05-30,S50M23C800,0,0,0,0,126.2,0,0.0
2023-05-31,S50M23C800,0,0,0,0,123.9,0,0.0
2023-06-01,S50M23C800,0,0,0,0,116.6,0,0.0
2023-06-02,S50M23C800,0,0,0,0,124.2,0,0.0
2023-06-06,S50M23C800,0,0,0,0,123.0,0,0.0
2023-06-07,S50M23C800,0,0,0,0,126.4,0,0.0
2023-06-08,S50M23C800,0,0,0,0,145.4,0,0.0
2023-06-09,S50M23C800,0,0,0,0,141.1,0,0.0
2023-06-12,S50M23C800,0,0,0,0,139.4,0,0.0
2023-06-13,S50M23C800,0,0,0,0,146.9,0,0.0
2023-06-14,S50M23C800,0,0,0,0,145.7,0,0.0
2023-06-15,S50M23C800,0,0,0,0,147.3,0,0.0
2023-06-16,S50M23C800,0,0,0,0,148.5,0,0.0
2023-06-19,S50M23C800,163.0,163.0,163.0,163.0,163.0,1,1.0
2023-06-20,S50M23C800,160.0,160.0,160.0,160.0,146.0,1,2.0
2023-06-21,S50M23C800,145.0,145.0,145.0,145.0,126.5,3,5.0
2023-06-22,S50M23C800,0,0,0,0,118.5,0,5.0
2023-06-23,S50M23C800,115.0,115.0,115.0,115.0,115.0,1,6.0
2023-06-26,S50M23C800,0,0,0,0,108.2,0,6.0
2023-06-27,S50M23C800,0,0,0,0,102.7,0,6.0
2023-06-28,S50M23C800,0,0,0,0,96.4,0,6.0
2023-06-29,S50M23C800,0,0,0,0,905.5,0,6.0
2023-03-15,S50M23C825,0,0,0,0,114.4,0,0.0
2023-03-16,S50M23C825,0,0,0,0,109.5,0,0.0
2023-03-17,S50M23C825,120.1,120.1,120.1,120.1,116.0,1,1.0
2023-03-20,S50M23C825,0,0,0,0,109.8,0,1.0
2023-03-21,S50M23C825,0,0,0,0,124.3,0,1.0
2023-03-22,S50M23C825,0,0,0,0,130.9,0,1.0
2023-03-23,S50M23C825,0,0,0,0,135.0,0,1.0
2023-03-24,S50M23C825,0,0,0,0,133.9,0,1.0
2023-03-27,S50M23C825,0,0,0,0,133.3,0,1.0
2023-03-28,S50M23C825,0,0,0,0,140.7,0,1.0
2023-03-29,S50M23C825,0,0,0,0,144.3,0,1.0
2023-03-30,S50M23C825,0,0,0,0,142.3,0,1.0
2023-03-31,S50M23C825,0,0,0,0,146.9,0,1.0
2023-04-03,S50M23C825,0,0,0,0,137.7,0,1.0
2023-04-04,S50M23C825,0,0,0,0,134.2,0,1.0
2023-04-05,S50M23C825,0,0,0,0,119.7,0,1.0
2023-04-07,S50M23C825,0,0,0,0,124.1,0,1.0
2023-04-10,S50M23C825,0,0,0,0,136.5,0,1.0
2023-04-11,S50M23C825,0,0,0,0,138.5,0,1.0
2023-04-12,S50M23C825,0,0,0,0,134.8,0,1.0
2023-04-17,S50M23C825,0,0,0,0,139.1,0,1.0
2023-04-18,S50M23C825,0,0,0,0,134.1,0,1.0
2023-04-19,S50M23C825,118.0,118.0,118.0,118.0,123.2,4,5.0
2023-04-20,S50M23C825,0,0,0,0,116.8,0,5.0
2023-04-21,S50M23C825,0,0,0,0,111.8,0,5.0
2023-04-24,S50M23C825,0,0,0,0,112.7,0,5.0
2023-04-25,S50M23C825,0,0,0,0,105.1,0,5.0
2023-04-26,S50M23C825,0,0,0,0,107.9,0,5.0
2023-04-27,S50M23C825,0,0,0,0,98.6,0,5.0
2023-04-28,S50M23C825,0,0,0,0,96.3,0,5.0
2023-05-02,S50M23C825,0,0,0,0,100.5,0,5.0
2023-05-03,S50M23C825,90.0,90.0,90.0,90.0,103.0,1,6.0
2023-05-08,S50M23C825,119.9,119.9,119.9,119.9,119.9,20,25.0
2023-05-09,S50M23C825,0,0,0,0,122.9,0,25.0
2023-05-10,S50M23C825,0,0,0,0,125.4,0,25.0
2023-05-11,S50M23C825,0,0,0,0,124.3,0,25.0
2023-05-12,S50M23C825,0,0,0,0,121.5,0,25.0
2023-05-15,S50M23C825,135.0,135.0,135.0,135.0,109.8,2,27.0
2023-05-16,S50M23C825,0,0,0,0,108.3,0,27.0
2023-05-17,S50M23C825,0,0,0,0,97.0,0,27.0
2023-05-18,S50M23C825,0,0,0,0,99.9,0,27.0
2023-05-19,S50M23C825,0,0,0,0,93.5,0,27.0
2023-05-22,S50M23C825,0,0,0,0,103.6,0,27.0
2023-05-23,S50M23C825,0,0,0,0,103.5,0,27.0
2023-05-24,S50M23C825,104.5,104.5,104.5,104.5,104.3,1,28.0
2023-05-25,S50M23C825,0,0,0,0,103.0,0,27.0
2023-05-26,S50M23C825,0,0,0,0,98.9,0,27.0
2023-05-29,S50M23C825,0,0,0,0,106.0,0,27.0
2023-05-30,S50M23C825,0,0,0,0,101.2,0,27.0
2023-05-31,S50M23C825,92.3,92.3,92.3,92.3,95.2,1,27.0
2023-06-01,S50M23C825,0,0,0,0,91.6,0,27.0
2023-06-02,S50M23C825,0,0,0,0,99.2,0,27.0
2023-06-06,S50M23C825,0,0,0,0,98.0,0,27.0
2023-06-07,S50M23C825,0,0,0,0,101.5,0,27.0
2023-06-08,S50M23C825,0,0,0,0,120.4,0,27.0
2023-06-09,S50M23C825,0,0,0,0,116.1,0,27.0
2023-06-12,S50M23C825,0,0,0,0,114.4,0,27.0
2023-06-13,S50M23C825,0,0,0,0,121.9,0,27.0
2023-06-14,S50M23C825,0,0,0,0,120.7,0,27.0
2023-06-15,S50M23C825,0,0,0,0,122.3,0,27.0
2023-06-16,S50M23C825,0,0,0,0,123.5,0,27.0
2023-06-19,S50M23C825,123.0,123.0,123.0,123.0,123.0,1,27.0
2023-06-20,S50M23C825,0,0,0,0,109.4,0,27.0
2023-06-21,S50M23C825,0,0,0,0,100.7,0,27.0
2023-06-22,S50M23C825,95.0,95.0,95.0,95.0,95.0,1,28.0
2023-06-23,S50M23C825,0,0,0,0,92.4,0,28.0
2023-06-26,S50M23C825,0,0,0,0,83.2,0,28.0
2023-06-27,S50M23C825,0,0,0,0,77.7,0,28.0
2023-06-28,S50M23C825,0,0,0,0,71.4,0,28.0
2023-06-29,S50M23C825,0,0,0,0,905.5,0,28.0
2023-03-07,S50M23C850,0,0,0,0,113.7,0,0.0
2023-03-08,S50M23C850,0,0,0,0,108.6,0,0.0
2023-03-09,S50M23C850,0,0,0,0,109.2,0,0.0
2023-03-10,S50M23C850,0,0,0,0,101.3,0,0.0
2023-03-13,S50M23C850,0,0,0,0,87.3,0,0.0
2023-03-14,S50M23C850,86.5,86.5,70.0,70.0,67.1,9,8.0
2023-03-15,S50M23C850,78.8,79.8,78.8,79.8,93.3,2,8.0
2023-03-16,S50M23C850,0,0,0,0,88.6,0,8.0
2023-03-17,S50M23C850,0,0,0,0,94.5,0,8.0
2023-03-20,S50M23C850,0,0,0,0,88.4,0,8.0
2023-03-21,S50M23C850,0,0,0,0,102.2,0,8.0
2023-03-22,S50M23C850,0,0,0,0,108.3,0,8.0
2023-03-23,S50M23C850,0,0,0,0,112.1,0,8.0
2023-03-24,S50M23C850,0,0,0,0,110.8,0,8.0
2023-03-27,S50M23C850,0,0,0,0,110.0,0,8.0
