Date,Symbol,Open,High,Low,Close,SP,Vol,OI
2008-10-27,S50M09C250,0,0,0,0,47.8,0,0.0
2008-10-28,S50M09C250,0,0,0,0,53.5,0,0.0
2008-10-29,S50M09C250,0,0,0,0,46.9,0,0.0
2008-10-30,S50M09C250,0,0,0,0,60.7,0,0.0
2008-10-31,S50M09C250,0,0,0,0,66.0,0,0.0
2008-11-03,S50M09C250,0,0,0,0,86.2,0,0.0
2008-11-04,S50M09C250,0,0,0,0,91.7,0,0.0
2008-11-05,S50M09C250,0,0,0,0,91.5,0,0.0
2008-11-06,S50M09C250,0,0,0,0,95.3,0,0.0
2008-11-07,S50M09C250,0,0,0,0,95.8,0,0.0
2008-11-10,S50M09C250,0,0,0,0,90.9,0,0.0
2008-11-11,S50M09C250,0,0,0,0,82.6,0,0.0
2008-11-12,S50M09C250,0,0,0,0,78.2,0,0.0
2008-11-13,S50M09C250,0,0,0,0,77.0,0,0.0
2008-11-14,S50M09C250,0,0,0,0,74.6,0,0.0
2008-11-17,S50M09C250,0,0,0,0,77.2,0,0.0
2008-11-18,S50M09C250,0,0,0,0,69.4,0,0.0
2008-11-19,S50M09C250,0,0,0,0,63.2,0,0.0
2008-11-20,S50M09C250,0,0,0,0,55.7,0,0.0
2008-11-21,S50M09C250,0,0,0,0,57.3,0,0.0
2008-11-24,S50M09C250,0,0,0,0,51.6,0,0.0
2008-11-25,S50M09C250,0,0,0,0,54.6,0,0.0
2008-11-26,S50M09C250,0,0,0,0,57.1,0,0.0
2008-11-27,S50M09C250,0,0,0,0,54.4,0,0.0
2008-11-28,S50M09C250,0,0,0,0,60.8,0,0.0
2008-12-01,S50M09C250,0,0,0,0,55.4,0,0.0
2008-12-02,S50M09C250,0,0,0,0,52.7,0,0.0
2008-12-03,S50M09C250,0,0,0,0,55.7,0,0.0
2008-12-04,S50M09C250,0,0,0,0,55.7,0,0.0
2008-12-08,S50M09C250,0,0,0,0,65.0,0,0.0
2008-12-09,S50M09C250,0,0,0,0,73.1,0,0.0
2008-12-11,S50M09C250,0,0,0,0,73.9,0,0.0
2008-12-12,S50M09C250,0,0,0,0,73.6,0,0.0
2008-12-15,S50M09C250,0,0,0,0,80.1,0,0.0
2008-12-16,S50M09C250,0,0,0,0,84.9,0,0.0
2008-12-17,S50M09C250,0,0,0,0,84.7,0,0.0
2008-12-18,S50M09C250,0,0,0,0,87.9,0,0.0
2008-12-19,S50M09C250,0,0,0,0,84.5,0,0.0
2008-12-22,S50M09C250,0,0,0,0,76.5,0,0.0
2008-12-23,S50M09C250,0,0,0,0,79.4,0,0.0
2008-12-24,S50M09C250,0,0,0,0,78.6,0,0.0
2008-12-25,S50M09C250,0,0,0,0,81.3,0,0.0
2008-12-26,S50M09C250,0,0,0,0,82.3,0,0.0
2008-12-29,S50M09C250,0,0,0,0,81.9,0,0.0
2008-12-30,S50M09C250,0,0,0,0,83.9,0,0.0
2009-01-05,S50M09C250,0,0,0,0,102.6,0,0.0
2009-01-06,S50M09C250,0,0,0,0,98.6,0,0.0
2009-01-07,S50M09C250,0,0,0,0,91.2,0,0.0
2009-01-08,S50M09C250,0,0,0,0,90.9,0,0.0
2009-01-09,S50M09C250,0,0,0,0,86.8,0,0.0
2009-01-12,S50M09C250,0,0,0,0,79.2,0,0.0
2009-01-13,S50M09C250,0,0,0,0,67.0,0,0.0
2009-01-14,S50M09C250,0,0,0,0,69.5,0,0.0
2009-01-15,S50M09C250,0,0,0,0,61.5,0,0.0
2009-01-16,S50M09C250,0,0,0,0,66.5,0,0.0
2009-01-19,S50M09C250,0,0,0,0,66.3,0,0.0
2009-01-20,S50M09C250,0,0,0,0,64.9,0,0.0
2009-01-21,S50M09C250,0,0,0,0,63.4,0,0.0
2009-01-22,S50M09C250,0,0,0,0,67.2,0,0.0
2009-01-23,S50M09C250,0,0,0,0,62.9,0,0.0
2009-01-26,S50M09C250,0,0,0,0,60.4,0,0.0
2009-01-27,S50M09C250,0,0,0,0,64.9,0,0.0
2009-01-28,S50M09C250,0,0,0,0,66.6,0,0.0
2009-01-29,S50M09C250,0,0,0,0,57.1,0,0.0
2009-01-30,S50M09C250,0,0,0,0,58.6,0,0.0
2009-02-02,S50M09C250,0,0,0,0,50.2,0,0.0
2009-02-03,S50M09C250,0,0,0,0,51.4,0,0.0
2009-02-04,S50M09C250,0,0,0,0,52.6,0,0.0
2009-02-05,S50M09C250,0,0,0,0,52.7,0,0.0
2009-02-06,S50M09C250,0,0,0,0,60.4,0,0.0
2009-02-10,S50M09C250,0,0,0,0,59.4,0,0.0
2009-02-11,S50M09C250,0,0,0,0,59.6,0,0.0
2009-02-12,S50M09C250,0,0,0,0,57.0,0,0.0
2009-02-13,S50M09C250,0,0,0,0,60.4,0,0.0
2009-02-16,S50M09C250,0,0,0,0,60.9,0,0.0
2009-02-17,S50M09C250,0,0,0,0,55.3,0,0.0
2009-02-18,S50M09C250,0,0,0,0,55.4,0,0.0
2009-02-19,S50M09C250,0,0,0,0,56.6,0,0.0
2009-02-20,S50M09C250,0,0,0,0,51.9,0,0.0
2009-02-23,S50M09C250,0,0,0,0,51.9,0,0.0
2009-02-24,S50M09C250,0,0,0,0,49.5,0,0.0
2009-02-25,S50M09C250,0,0,0,0,51.8,0,0.0
2009-02-26,S50M09C250,0,0,0,0,50.5,0,0.0
2009-02-27,S50M09C250,0,0,0,0,50.6,0,0.0
2009-03-02,S50M09C250,0,0,0,0,41.7,0,0.0
2009-03-03,S50M09C250,0,0,0,0,38.9,0,0.0
2009-03-04,S50M09C250,0,0,0,0,41.6,0,0.0
2009-03-05,S50M09C250,0,0,0,0,41.2,0,0.0
2009-03-06,S50M09C250,0,0,0,0,42.6,0,0.0
2009-03-09,S50M09C250,0,0,0,0,37.1,0,0.0
2009-03-10,S50M09C250,0,0,0,0,40.7,0,0.0
2009-03-11,S50M09C250,0,0,0,0,38.9,0,0.0
2009-03-12,S50M09C250,0,0,0,0,39.1,0,0.0
2009-03-13,S50M09C250,0,0,0,0,45.2,0,0.0
2009-03-16,S50M09C250,0,0,0,0,45.2,0,0.0
2009-03-17,S50M09C250,0,0,0,0,43.1,0,0.0
2009-03-18,S50M09C250,0,0,0,0,45.6,0,0.0
2009-03-19,S50M09C250,0,0,0,0,46.5,0,0.0
2009-03-20,S50M09C250,0,0,0,0,47.7,0,0.0
2009-03-23,S50M09C250,0,0,0,0,53.7,0,0.0
2009-03-24,S50M09C250,0,0,0,0,53.7,0,0.0
2009-03-25,S50M09C250,0,0,0,0,53.0,0,0.0
2009-03-26,S50M09C250,0,0,0,0,54.8,0,0.0
2009-03-27,S50M09C250,0,0,0,0,55.8,0,0.0
2009-03-30,S50M09C250,0,0,0,0,47.9,0,0.0
2009-03-31,S50M09C250,0,0,0,0,48.0,0,0.0
2009-04-01,S50M09C250,0,0,0,0,46.9,0,0.0
2009-04-02,S50M09C250,0,0,0,0,56.7,0,0.0
2009-04-03,S50M09C250,0,0,0,0,59.4,0,0.0
2009-04-07,S50M09C250,0,0,0,0,56.8,0,0.0
2009-04-08,S50M09C250,0,0,0,0,57.6,0,0.0
